Date;actual;predicted
11.05.2020;440,52;442,7511027
12.05.2020;431,82;435,1326872
13.05.2020;438,27;437,7370086
14.05.2020;441,95;441,1741477
15.05.2020;454,19;449,4874701
18.05.2020;452,58;449,2975382
19.05.2020;451,04;455,7169166
20.05.2020;447,67;447,3871849
21.05.2020;436,25;434,2486038
22.05.2020;429,32;430,8462476
26.05.2020;414,77;416,6984041
27.05.2020;419,89;407,9490246
28.05.2020;413,44;416,8264208
29.05.2020;419,73;415,4187586
01.06.2020;425,92;422,7641322
02.06.2020;427,31;422,157456
03.06.2020;421,97;420,0167708
04.06.2020;414,33;417,1676028
05.06.2020;419,60;414,9268783
08.06.2020;419,49;412,13187
09.06.2020;434,05;431,0359392
10.06.2020;434,48;434,730957
11.06.2020;425,56;438,5338629
12.06.2020;418,07;419,3623096
15.06.2020;425,50;420,6444524
16.06.2020;436,13;435,028005
17.06.2020;447,77;446,8428153
18.06.2020;449,87;447,2679872
19.06.2020;453,72;450,4959381
22.06.2020;468,04;465,2486012
23.06.2020;466,26;471,1929498
24.06.2020;457,85;459,629055
25.06.2020;465,91;461,3832074
26.06.2020;443,40;447,8020794
29.06.2020;447,24;436,4917376
30.06.2020;455,04;453,6789786
01.07.2020;485,64;480,5931856
02.07.2020;476,89;482,8072952
06.07.2020;493,81;494,892795
07.07.2020;493,16;498,1959409
08.07.2020;502,78;500,2024548
09.07.2020;507,76;499,6678774
10.07.2020;548,73;541,7873255
13.07.2020;525,50;535,3738093
14.07.2020;524,88;502,3406455
15.07.2020;523,26;521,81456
16.07.2020;527,39;516,9820261
17.07.2020;492,99;494,8740009
20.07.2020;502,41;497,7680105
21.07.2020;490,10;492,4623942
22.07.2020;489,82;492,611192
23.07.2020;477,58;476,3598083
24.07.2020;480,45;482,390901
27.07.2020;495,65;492,893379
28.07.2020;488,51;491,1434291
29.07.2020;484,48;488,2147514
30.07.2020;485,80;484,5632205
31.07.2020;488,88;490,7463036
03.08.2020;498,62;500,2771161
04.08.2020;509,64;508,2712061
05.08.2020;502,11;504,0762813
06.08.2020;509,08;505,1455951
07.08.2020;494,73;492,3631669
10.08.2020;483,38;484,5381586
11.08.2020;466,93;470,2858904
12.08.2020;475,47;479,417916
13.08.2020;481,33;481,7914094
14.08.2020;482,68;485,2468215
17.08.2020;482,35;481,871686
18.08.2020;491,87;491,784387
19.08.2020;484,53;486,0220095
20.08.2020;497,90;495,3771888
21.08.2020;492,31;492,8543931
24.08.2020;488,81;489,8097395
25.08.2020;490,58;489,5634948
26.08.2020;547,53;536,415877
27.08.2020;526,27;527,2691424
28.08.2020;523,89;529,4374934
31.08.2020;529,56;526,9786428
01.09.2020;556,55;552,202234
02.09.2020;552,84;542,7262445
03.09.2020;525,75;532,6636341
04.09.2020;516,05;497,3374346
08.09.2020;507,02;513,8721571
09.09.2020;500,19;497,9676552
10.09.2020;480,67;485,4404289
11.09.2020;482,03;484,3462028
14.09.2020;476,26;479,8372251
15.09.2020;495,99;492,7792293
16.09.2020;483,86;489,8975489
17.09.2020;470,20;468,1590323
18.09.2020;469,96;466,6111435
21.09.2020;487,35;482,2222087
22.09.2020;491,17;483,3706029
23.09.2020;470,61;472,7970939
24.09.2020;473,08;473,6346113
25.09.2020;482,88;477,3535664
28.09.2020;490,65;482,3854796
29.09.2020;493,48;492,6403907
30.09.2020;500,03;499,4536734
01.10.2020;527,51;522,5405669
02.10.2020;503,06;512,9790233
05.10.2020;520,65;513,6979507
06.10.2020;505,87;509,2999809
07.10.2020;534,66;530,9977366
08.10.2020;531,79;527,5189368
09.10.2020;539,44;541,0577352
12.10.2020;539,81;542,9163916
13.10.2020;554,09;551,3210651
14.10.2020;541,45;552,7809716
15.10.2020;541,94;541,7267665
16.10.2020;530,79;537,4239402
19.10.2020;530,72;531,6869354
20.10.2020;525,42;528,6391994
21.10.2020;489,05;496,3995107
22.10.2020;485,23;485,1274269
23.10.2020;488,28;484,5352073
26.10.2020;488,24;488,22257
27.10.2020;488,93;484,9467777
28.10.2020;486,24;490,268194
29.10.2020;504,21;500,8840437
30.10.2020;475,74;480,4016435
02.11.2020;484,12;481,7755619
03.11.2020;487,22;487,9964079
04.11.2020;496,95;504,1756997
05.11.2020;513,76;513,7887795
06.11.2020;514,73;505,2053141
09.11.2020;470,50;478,817434
10.11.2020;480,24;475,6878528
11.11.2020;490,76;486,1979981
12.11.2020;486,77;486,8271333
13.11.2020;482,84;481,2733762
